,Hotel,Harga,Rating,Link
47,Mercure Surabaya Manyar,Rp 665 rb,"4,8",https://www.google.com/maps/place/Mercure+Surabaya+Manyar/data=!4m10!3m9!1s0x2dd7fbd467400883:0xaed4245e9a11dbc1!5m2!4m1!1i2!8m2!3d-7.2802195!4d112.7659277!16s%2Fg%2F11nn18w3dw!19sChIJgwhAZ9T71y0RwdsRml4k1K4?authuser=0&hl=id&rclk=1
48,DAFAM Pacific Caesar Surabaya,Rp 415 rb,"4,6",https://www.google.com/maps/place/DAFAM+Pacific+Caesar+Surabaya/data=!4m10!3m9!1s0x2dd7f941748c4b6d:0x6d9ca7365f7dffc5!5m2!4m1!1i2!8m2!3d-7.2588742!4d112.7828331!16s%2Fg%2F11sss934l8!19sChIJbUuMdEH51y0Rxf99XzannG0?authuser=0&hl=id&rclk=1
49,Oakwood Hotel & Residence Surabaya,"Rp 1,23 jt","4,8",https://www.google.com/maps/place/Oakwood+Hotel+%26+Residence+Surabaya/data=!4m10!3m9!1s0x2dd7fb732372d599:0x87a1640070539a05!5m2!4m1!1i2!8m2!3d-7.2803347!4d112.7814111!16s%2Fg%2F11g0mv96_t!19sChIJmdVyI3P71y0RBZpTcABkoYc?authuser=0&hl=id&rclk=1
50,TAB Hotel,Rp 227 rb,"4,2",https://www.google.com/maps/place/TAB+Hotel/data=!4m10!3m9!1s0x2dd7fc22cab97473:0x1ffa10ed84e72015!5m2!4m1!1i2!8m2!3d-7.2793265!4d112.6833035!16s%2Fg%2F12hl55nxt!19sChIJc3S5yiL81y0RFSDnhO0Q-h8?authuser=0&hl=id&rclk=1
51,Zoom Hotel Jemursari Surabaya,Rp 277 rb,"4,2",https://www.google.com/maps/place/Zoom+Hotel+Jemursari+Surabaya/data=!4m10!3m9!1s0x2dd7fb1168e04b39:0x6634129ace72fd50!5m2!4m1!1i2!8m2!3d-7.3207986!4d112.7455455!16s%2Fg%2F1q5brq7z4!19sChIJOUvgaBH71y0RUP1yzpoSNGY?authuser=0&hl=id&rclk=1
52,Java Paragon Hotel & Residence,Rp 553 rb,"4,6",https://www.google.com/maps/place/Java+Paragon+Hotel+%26+Residence/data=!4m10!3m9!1s0x2dd8001d1f3dd9e7:0xc704d94aa4d50a26!5m2!4m1!1i2!8m2!3d-7.2916012!4d112.7153168!16s%2Fg%2F11b6dtcczb!19sChIJ59k9Hx0A2C0RJgrVpErZBMc?authuser=0&hl=id&rclk=1
53,Hotel New Coklat,Rp 235 rb,"4,1",https://www.google.com/maps/place/Hotel+New+Coklat/data=!4m10!3m9!1s0x31d98e6886ed4dd9:0x78d336e77f78fe73!5m2!4m1!1i2!8m2!3d-7.2638201!4d112.7515385!16s%2Fg%2F1ptydx4q4!19sChIJ2U3thmiO2TERc_54f-c203g?authuser=0&hl=id&rclk=1
54,MaxOneHotels.com @Tidar Surabaya,Rp 280 rb,"4,5",https://www.google.com/maps/place/MaxOneHotels.com+@Tidar+Surabaya/data=!4m10!3m9!1s0x2dd7f95b42881625:0xaf77d12e01acf4af!5m2!4m1!1i2!8m2!3d-7.2583608!4d112.7322172!16s%2Fg%2F11bw21xw39!19sChIJJRaIQlv51y0Rr_SsAS7Rd68?authuser=0&hl=id&rclk=1
55,DoubleTree by Hilton Surabaya,"Rp 1,12 jt","4,8",https://www.google.com/maps/place/DoubleTree+by+Hilton+Surabaya/data=!4m10!3m9!1s0x2dd7f95d4adc47e7:0xb308f9396b980bb1!5m2!4m1!1i2!8m2!3d-7.2568633!4d112.7370138!16s%2Fg%2F11g4bk_fhw!19sChIJ50fcSl351y0RsQuYazn5CLM?authuser=0&hl=id&rclk=1
56,Grand Empire Palace Hotel,Rp 423 rb,"4,4",https://www.google.com/maps/place/Grand+Empire+Palace+Hotel/data=!4m10!3m9!1s0x2dd7f95cad28de13:0x482eba9cc3377a0e!5m2!4m1!1i2!8m2!3d-7.2574479!4d112.7341285!16s%2Fg%2F11bwpl0y8g!19sChIJE94orVz51y0RDno3w5y6Lkg?authuser=0&hl=id&rclk=1
